Date,Artist,Album,New to me?,Comments,Playlist,Listen Again
2021-06-22,Squid,Bright Green Field,TRUE,,TRUE,
2021-06-23,Juniore,"Un, Deux, Trois bonus",TRUE,,TRUE,
2021-06-24,Rokurokubi,"Iris, Flower of Violence",TRUE,,TRUE,
2021-06-25,The Armed,ULTRAPOP,TRUE,,TRUE,TRUE
2021-06-26,Japanese Breakfast,Jubilee,TRUE,,TRUE,
2021-06-27,Hattie Cooke,Bliss Land,TRUE,,TRUE,
2021-06-28,Loop,A Gilded Eternity,FALSE,,TRUE,
2021-06-29,Daniel Avery,Together In Static,TRUE,,TRUE,
2021-06-30,Primus,Sailing The Seas Of Cheese,FALSE,,TRUE,
2021-07-01,Lost Horizons,In Quiet Moments,TRUE,,TRUE,
2021-07-02,Roots Manuva,Run Come Save Me,FALSE,,TRUE,
2021-07-03,"Tyler, The Creator",Call Me If You Get Lost,TRUE,,TRUE,
2021-07-04,Snapped Ankles,Forest Of Your Problems,TRUE,,TRUE,
2021-07-05,John Coltrane,Giant Steps,FALSE,,TRUE,
2021-07-06,The Murder Capital,When I Have Fears,TRUE,,TRUE,
2021-07-07,Tony Bontana,Di-Splay,TRUE,,TRUE,
2021-07-08,Desparate Journalist,Maximum Sorrow!,TRUE,,TRUE,
2021-07-09,The Go! Team,Get Up Sequences Part One,TRUE,,TRUE,
2021-07-10,The Cure,Pornography,FALSE,,TRUE,
2021-07-11,Metz,Atlas Vending,TRUE,The day we got Delia dog!,TRUE,
2021-07-12,LoneLady,Former Things,TRUE,,TRUE,
2021-07-13,Giant Claw,Mirror Guide,TRUE,,TRUE,
2021-07-14,Half Waif,Mythopoetics,TRUE,,TRUE,
2021-07-15,Tkay Maidza,"Last Year Was Weird, Vol. 3",TRUE,,TRUE,
2021-07-16,Vijay Iyer,Uneasy,TRUE,,TRUE,
2021-07-17,Chet Faker,Hotel Surrender,TRUE,,TRUE,
2021-07-18,Inhaler,It Won't Always Be Like This,TRUE,,TRUE,
2021-07-19,Clairo,Sling,TRUE,,TRUE,
2021-07-20,Spellling,The Turning Wheel,TRUE,,TRUE,TRUE
2021-07-21,Pixies,Surfer Rosa,FALSE,,TRUE,
2021-07-22,Alice Coltrane,Kirtan: Turiya Sings,TRUE,,TRUE,
2021-07-23,Arlo Parks,Collapsed In Sunbeams,TRUE,Mercury Prize,TRUE,
2021-07-24,Berwyn,Demotape/Vega,TRUE,Mercury Prize,TRUE,
2021-07-25,Celeste,Not Your Muse,TRUE,Mercury Prize,TRUE,
2021-07-26,Laura Mvula,Pink Noise,TRUE,Mercury Prize,TRUE,
2021-07-27,Ghetts,Conflict Of Interest,TRUE,Mercury Prize,TRUE,
